date,price
"Feb 03, 2025",5994.57
"Feb 04, 2025",6037.88
"Feb 05, 2025",6061.48
"Feb 06, 2025",6083.57
"Feb 07, 2025",6025.99
"Feb 10, 2025",6066.44
"Feb 11, 2025",6068.5
"Feb 12, 2025",6051.97
"Feb 13, 2025",6115.07
"Feb 14, 2025",6114.63
