date,price
"Feb 03, 2025",168.76
"Feb 04, 2025",168.13
"Feb 05, 2025",169.01
"Feb 06, 2025",168.88
"Feb 07, 2025",167.97
"Feb 10, 2025",167.53
"Feb 11, 2025",169.43
"Feb 12, 2025",169.58
"Feb 13, 2025",171.02
"Feb 14, 2025",162.89
