date,price
"Feb 03, 2025",201.23
"Feb 04, 2025",206.38
"Feb 05, 2025",191.33
"Feb 06, 2025",191.6
"Feb 07, 2025",185.34
"Feb 10, 2025",186.47
"Feb 11, 2025",185.32
"Feb 12, 2025",183.61
"Feb 13, 2025",186.14
"Feb 14, 2025",185.23
