date,price
"Feb 03, 2025",5221
"Feb 04, 2025",5279
"Feb 05, 2025",5275
"Feb 06, 2025",5374
"Feb 07, 2025",5326
"Feb 10, 2025",5375
"Feb 11, 2025",5401
"Feb 12, 2025",5417
"Feb 13, 2025",5507
"Feb 14, 2025",5500
