Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,167.23866313576698,167.43175579488278
2025-02-04,167.12779020011428,167.40347551047805
2025-02-05,167.12511664390564,167.54512065410614
2025-02-06,167.1047571474314,167.32859649002555
2025-02-07,167.07291126132012,166.9152524459362
2025-02-10,166.96890949428084,167.17735319554808
2025-02-11,166.74379261732102,167.04543893933297
2025-02-12,166.52384633779528,166.86662546753885
2025-02-13,166.2685238724947,166.41654296278955
2025-02-14,165.9597991669178,166.8332299554348
