Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,18349.684596657753,18508.76685678959
2025-02-04,18335.454567074776,18480.091270565987
2025-02-05,18352.982403039932,18495.15026497841
2025-02-06,18378.040577173233,18544.73868203163
2025-02-07,18415.45933008194,18556.28466272354
2025-02-10,18474.422363638878,18581.33685338497
2025-02-11,18548.44409108162,18627.993315935135
2025-02-12,18638.039949536324,18677.65612232685
2025-02-13,18743.00872027874,18770.431829333305
2025-02-14,18861.31541788578,18922.389110207558
