Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,12494.581783103944,12296.903590965272
2025-02-04,12674.251662302016,12449.640654611587
2025-02-05,12726.441072273254,12430.36560230255
2025-02-06,12801.376953077315,12488.225097608565
2025-02-07,12858.614863538742,12546.905604505539
2025-02-10,12921.385882377625,12604.137591362
2025-02-11,12988.809588432312,12671.311114311218
2025-02-12,13060.99735121727,12747.772162008285
2025-02-13,13139.6167034626,12826.391514253615
2025-02-14,13224.396746349334,12905.79362745285
