Date,Open,High,Low,Close,Volume,EMA_7,EMA_40,MACD,Signal_Line,MACD_Hist,RSI,ATR,Asset
2020-01-02,93.75,94.9,93.21,94.9,80720000.0,94.9,94.9,0.0,0.0,0.0,24.710408787726536,1.3335714285714295,Amazon
2020-01-03,93.22,94.31,93.22,93.75,75330000.0,94.6125,94.8439024390244,-0.0917378917379068,-0.0183475783475813,-0.0733903133903254,24.710408787726536,1.3335714285714295,Amazon
2020-01-06,93.0,95.18,93.0,95.14,81310000.0,94.744375,94.85834622248662,-0.0516836713987771,-0.0250147969578205,-0.0266688744409566,24.710408787726536,1.3335714285714295,Amazon
2020-01-07,95.22,95.69,94.6,95.34,82680000.0,94.89328125,94.8818415287068,-0.0037587560744043,-0.0207635887811372,0.0170048327067329,24.710408787726536,1.3335714285714295,Amazon
2020-01-08,94.9,95.55,94.32,94.6,70240000.0,94.8199609375,94.8680931614528,-0.0251992496969108,-0.021650720964292,-0.0035485287326188,24.710408787726536,1.3335714285714295,Amazon
2020-01-09,95.49,95.89,94.79,95.05,63500000.0,94.877470703125,94.87696666577216,-0.0058127504017733,-0.0184831268517882,0.0126703764500149,24.710408787726536,1.3335714285714295,Amazon
2020-01-10,95.27,95.35,94.0,94.16,57140000.0,94.69810302734376,94.84199268207595,-0.0615548065049864,-0.0270974627824279,-0.0344573437225585,24.710408787726536,1.3335714285714295,Amazon
2020-01-13,94.57,94.9,94.04,94.56,55720000.0,94.66357727050782,94.82823694148688,-0.0726170463977524,-0.0362013795054928,-0.0364156668922596,24.710408787726536,1.3335714285714295,Amazon
2020-01-14,94.29,94.36,92.93,93.47,68930000.0,94.36518295288089,94.76198148092656,-0.1674080657280257,-0.0624427167499994,-0.1049653489780262,24.710408787726536,1.3335714285714295,Amazon
2020-01-15,93.61,93.94,92.75,93.1,57930000.0,94.04888721466064,94.68090921356428,-0.2692824191551182,-0.1038106572310231,-0.165471761924095,24.710408787726536,1.3335714285714295,Amazon
2020-01-16,94.15,94.28,93.3,93.9,53190000.0,94.01166541099548,94.64281608119528,-0.2822120986873955,-0.1394909455222976,-0.1427211531650978,24.710408787726536,1.3335714285714295,Amazon
2020-01-17,94.29,94.33,92.86,93.24,79950000.0,93.8187490582466,94.57438602845404,-0.3417756698458731,-0.1799478903870127,-0.1618277794588604,24.710408787726536,1.3335714285714295,Amazon
2020-01-21,93.25,94.71,93.0,94.6,74160000.0,94.01406179368496,94.57563549048066,-0.2760573775073993,-0.19916978781109,-0.0768875896963092,24.710408787726536,1.3335714285714295,Amazon
2020-01-22,94.8,95.12,94.17,94.37,64330000.0,94.10304634526372,94.56560449094502,-0.2397703122563967,-0.2072898927001514,-0.0324804195562453,24.710408787726536,1.3335714285714295,Amazon
