Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,6062.686808252334,5943.831926965713
2025-02-04,6080.48179705143,5969.809380364418
2025-02-05,6063.142691636085,5957.901618027687
2025-02-06,6047.532263302803,5925.066313290596
2025-02-07,6032.209675240517,5914.059170174599
2025-02-10,6014.883244609832,5907.206227397918
2025-02-11,5998.713081431389,5891.246353220939
2025-02-12,5984.635893177986,5880.951956105232
2025-02-13,5971.784070396423,5874.647237205505
2025-02-14,5960.8134309768675,5862.419685554504
