Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,5314.695651526452,5255.677505011559
2025-02-04,5357.173172034026,5282.007156409026
2025-02-05,5366.472597457171,5292.061495162249
2025-02-06,5379.289135433436,5310.411419368983
2025-02-07,5393.425022907258,5324.3125427436835
2025-02-10,5409.989343453646,5339.143625069857
2025-02-11,5428.060454500914,5355.256796969175
2025-02-12,5447.447456724644,5374.643799192906
2025-02-13,5467.974667413235,5397.179570062161
2025-02-14,5490.025960208178,5418.151890994311
