Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,5233.36869354248,5189.37988204956
2025-02-04,5255.29263777256,5204.699856705665
2025-02-05,5241.459291501044,5191.164354367255
2025-02-06,5228.2493197011945,5169.472502379417
2025-02-07,5212.756230807304,5143.434163546562
2025-02-10,5193.776970348358,5114.251221141815
2025-02-11,5171.141615376472,5092.458555684089
2025-02-12,5145.062164998054,5068.380058979988
2025-02-13,5118.145399065017,5045.897123308181
2025-02-14,5090.732619955539,5026.959033682346
