Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,236.0102344667912,231.01716672539715
2025-02-04,235.46865401268008,230.79878506660464
2025-02-05,232.8272729021311,227.746844778657
2025-02-06,230.51934552907946,226.66756392240526
2025-02-07,227.85359786391263,224.1319217526913
2025-02-10,225.49226906657222,222.5346162593365
2025-02-11,223.17177171945576,221.28436048269276
2025-02-12,221.0752975869179,218.96187757730488
2025-02-13,219.31896751165394,218.15275340318684
2025-02-14,217.73036133050923,216.61170302629475
