Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,12277.879453372956,12145.913297367097
2025-02-04,12385.667619991304,12234.7864859581
2025-02-05,12361.913328647614,12173.6777176857
2025-02-06,12351.741824817658,12147.762851428986
2025-02-07,12324.326860904694,12134.545412540436
2025-02-10,12296.995238685608,12117.961058998108
2025-02-11,12274.795174503326,12097.56740655899
2025-02-12,12258.019954776764,12143.284214115143
2025-02-13,12246.214699268341,12140.624168872833
2025-02-14,12257.763567733766,12143.491846847535
