Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-01-29,20283.682694792747,20461.105882048607
2025-01-30,20389.81454229355,20576.007260799408
2025-01-31,20467.916422069073,20732.09385126829
2025-02-03,20543.575472652912,20772.72737389803
2025-02-04,20623.83728671074,20822.768042325974
2025-02-05,20708.012886106968,20868.318321287632
2025-02-06,20788.58875733614,21000.247525036335
2025-02-07,20862.627857208252,21103.032474517822
2025-02-10,20932.655302762985,21175.235731840134
2025-02-11,21011.87220722437,21191.60349994898
