Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,6141.289647220372,6030.617367862462
2025-02-04,6142.5426068866245,6020.584026869535
2025-02-05,6137.4405440211285,6020.526183974742
2025-02-06,6131.106342458725,6005.104923391342
2025-02-07,6126.097279922961,5990.447621719836
2025-02-10,6119.3540619850155,5983.269451999664
2025-02-11,6111.340070884823,5992.499479454159
2025-02-12,6103.643483895063,5990.854459542035
2025-02-13,6100.079859319924,5984.11906677842
2025-02-14,6098.992542032002,5990.953807595967
