Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,18349.80849981308,18264.909772396088
2025-02-04,18335.95711827278,18259.207072496414
2025-02-05,18291.922928094864,18201.746376276016
2025-02-06,18256.822651028633,18194.274570584297
2025-02-07,18223.372763991356,18167.748885512352
2025-02-10,18209.205181598663,18125.180637836456
2025-02-11,18206.68350458145,18064.611864566803
2025-02-12,18211.509780287743,18066.569167494774
2025-02-13,18214.910674095154,18073.41496181488
2025-02-14,18237.320294380188,18112.916363716125
