Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-02-03,169.40560610294338,168.54468460083004
2025-02-04,169.97030253410335,168.97350735664364
2025-02-05,170.52734501361843,169.55183382034298
2025-02-06,171.11215384006496,170.2982791781425
2025-02-07,171.73857553005215,170.55237872600551
2025-02-10,172.42123861312862,170.72603638172146
2025-02-11,173.06146283149715,171.17217822074886
2025-02-12,173.61074872016903,171.66184492111202
2025-02-13,174.1169505834579,172.09494884014126
2025-02-14,174.61013681888576,172.56516630649563
