Date,Pred_Close_LSTM,Pred_Close_HYBRID
2025-01-29,20350.500914275646,20205.327116668224
2025-01-30,20477.726691663265,20286.563422620296
2025-01-31,20501.96557545662,20333.100234270096
2025-02-03,20516.23448306322,20344.134522736073
2025-02-04,20526.441097676754,20374.28702968359
2025-02-05,20535.39635270834,20385.41211503744
2025-02-06,20547.105572640896,20482.06283277273
2025-02-07,20553.591218411922,20544.61192268133
2025-02-10,20574.96171337366,20547.971421778202
2025-02-11,20611.42594206333,20581.014818787575
