"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","5,286.87","5,291.41","5,314.29","5,273.49","22.05M","0.09%"
"01/30/2025","5,282.21","5,248.50","5,285.22","5,248.50","23.61M","0.99%"
"01/29/2025","5,230.66","5,197.67","5,244.47","5,185.23","25.67M","0.67%"
"01/28/2025","5,195.71","5,189.93","5,219.49","5,179.49","22.04M","0.14%"
"01/27/2025","5,188.45","5,212.89","5,223.10","5,131.76","25.31M","-0.59%"
"01/24/2025","5,219.37","5,229.61","5,260.28","5,209.65","25.91M","0.04%"
"01/23/2025","5,217.50","5,212.30","5,220.84","5,184.83","20.59M","0.22%"
"01/22/2025","5,205.83","5,166.30","5,228.98","5,166.30","21.16M","0.77%"
"01/21/2025","5,165.96","5,162.36","5,171.23","5,151.83","20.53M","0.03%"
"01/20/2025","5,164.44","5,150.76","5,183.28","5,142.60","24.73M","0.31%"
"01/17/2025","5,148.30","5,118.31","5,158.63","5,118.31","30.78M","0.81%"
"01/16/2025","5,106.93","5,065.23","5,107.32","5,065.23","25.07M","1.48%"
"01/15/2025","5,032.31","4,980.21","5,051.69","4,975.39","26.49M","1.04%"
"01/14/2025","4,980.47","4,978.51","5,014.30","4,974.03","24.05M","0.53%"
"01/13/2025","4,954.21","4,964.78","4,964.78","4,916.87","20.15M","-0.46%"
"01/10/2025","4,977.26","5,013.56","5,031.56","4,970.79","23.93M","-0.81%"
"01/09/2025","5,017.91","4,982.75","5,022.15","4,967.62","17.48M","0.43%"
"01/08/2025","4,996.39","5,013.34","5,036.24","4,966.44","25.78M","-0.31%"
"01/07/2025","5,011.82","4,987.38","5,030.83","4,969.30","23.98M","0.50%"
"01/06/2025","4,986.64","4,893.32","4,986.64","4,893.19","27.33M","2.36%"
"01/03/2025","4,871.45","4,915.54","4,917.34","4,861.12","17.72M","-0.94%"
"01/02/2025","4,917.88","4,890.54","4,917.88","4,845.89","19.06M","0.45%"
"12/31/2024","4,895.98","4,866.22","4,896.02","4,860.86","12.40M","0.55%"
"12/30/2024","4,869.28","4,890.52","4,904.08","4,862.16","","-0.60%"
"12/27/2024","4,898.88","4,854.16","4,898.88","4,847.89","","0.84%"
"12/24/2024","4,857.86","4,857.79","4,868.36","4,857.79","11.01M","0.10%"
"12/23/2024","4,852.93","4,859.04","4,862.51","4,832.15","13.21M","-0.19%"
"12/20/2024","4,862.28","4,861.59","4,872.66","4,803.20","52.54M","-0.34%"
"12/19/2024","4,879.00","4,916.32","4,916.32","4,869.11","23.12M","-1.58%"
"12/18/2024","4,957.28","4,945.61","4,970.35","4,940.30","22.98M","0.30%"
"12/17/2024","4,942.58","4,936.52","4,966.14","4,922.34","23.94M","-0.09%"
"12/16/2024","4,947.03","4,963.88","4,963.88","4,940.39","23.76M","-0.42%"
"12/13/2024","4,967.95","4,964.08","4,996.96","4,955.29","20.68M","0.05%"
"12/12/2024","4,965.53","4,964.17","4,974.90","4,953.21","24.88M","0.12%"
"12/11/2024","4,959.35","4,947.44","4,966.23","4,940.08","21.65M","0.15%"
"12/10/2024","4,951.74","4,979.17","4,979.17","4,949.32","21.32M","-0.68%"
"12/09/2024","4,985.46","4,991.84","5,007.70","4,974.05","23.03M","0.15%"
"12/06/2024","4,977.78","4,953.93","4,985.22","4,944.29","23.20M","0.53%"
"12/05/2024","4,951.58","4,914.06","4,954.92","4,912.75","29.75M","0.66%"
"12/04/2024","4,919.02","4,884.94","4,929.53","4,884.52","22.68M","0.83%"
"12/03/2024","4,878.51","4,854.14","4,902.04","4,854.14","25.25M","0.66%"
"12/02/2024","4,846.73","4,785.15","4,848.87","4,764.38","27.36M","0.88%"
"11/29/2024","4,804.40","4,754.62","4,810.49","4,741.89","23.07M","0.96%"
