Date,Open,High,Low,Close,Volume,EMA_7,EMA_40,MACD,Signal_Line,MACD_Hist,RSI,ATR
2020-01-02,9639.1,9705.4,9615.1,9691.2,142380000.0,9691.2,9691.2,0.0,0.0,0.0,24.88432046587637,91.39285714285701
2020-01-03,9631.2,9650.7,9581.2,9646.6,135130000.0,9680.050000000001,9689.024390243902,-3.557834757835735,-0.7115669515671471,-2.846267806268588,24.88432046587637,91.39285714285701
2020-01-06,9585.4,9618.2,9492.7,9600.9,103520000.0,9660.2625,9684.725639500297,-9.950351052346377,-2.559323771722993,-7.391027280623384,24.88432046587637,91.39285714285701
2020-01-07,9623.1,9657.9,9557.9,9579.8,133479999.99999999,9640.146875,9679.607315622234,-16.528529333772894,-5.3531648841329735,-11.175364449639922,24.88432046587637,91.39285714285701
2020-01-08,9535.1,9604.3,9520.3,9591.4,133960000.00000001,9627.960156250001,9675.304519738222,-20.568657282656204,-8.396263363837619,-12.172393918818585,24.88432046587637,91.39285714285701
2020-01-09,9629.2,9644.8,9573.8,9581.8,151790000.0,9616.4201171875,9670.74332365343,-24.26541100576469,-11.570092892223034,-12.695318113541656,24.88432046587637,91.39285714285701
2020-01-10,9611.3,9623.6,9557.9,9573.6,132889999.99999999,9605.715087890625,9666.00462493863,-27.539330179077297,-14.763940349593888,-12.775389829483409,24.88432046587637,91.39285714285701
2020-01-13,9586.6,9586.6,9507.4,9543.9,124150000.0,9590.26131591797,9660.048301770892,-32.1597588170971,-18.243104043094533,-13.916654774002566,24.88432046587637,91.39285714285701
2020-01-14,9548.1,9548.4,9466.0,9528.3,143770000.0,9574.770986938478,9653.621555343043,-36.657704230732634,-21.926024080622156,-14.731680150110478,24.88432046587637,91.39285714285701
2020-01-15,9521.2,9530.2,9475.0,9511.7,162000000.0,9559.00324020386,9646.698552643384,-41.08820044676577,-25.758459353850878,-15.32974109291489,24.88432046587637,91.39285714285701
2020-01-16,9516.7,9579.5,9481.6,9572.5,133840000.0,9562.377430152894,9643.079111051024,-39.24100289013404,-28.45496806110751,-10.78603482902653,24.88432046587637,91.39285714285701
2020-01-17,9616.1,9709.9,9611.3,9681.3,159820000.0,9592.10807261467,9644.94354465829,-28.667375141887533,-28.497449477263515,-0.16992566462401726,24.88432046587637,91.39285714285701
2020-01-20,9676.6,9680.9,9623.1,9658.8,99960000.0,9608.781054461004,9645.619469309106,-21.851371918710356,-27.168233965552886,5.31686204684253,24.88432046587637,91.39285714285701
2020-01-21,9593.4,9620.7,9550.0,9611.3,126450000.0,9609.410790845752,9643.945348855003,-20.051353759028643,-25.744857924248038,5.6935041652193945,24.88432046587637,91.39285714285701
2020-01-22,9622.0,9632.8,9557.0,9573.7,134570000.0,9600.483093134313,9640.518746471831,-21.412007864584666,-24.878287912315365,3.4662800477306988,24.88432046587637,91.39285714285701
2020-01-23,9549.4,9604.7,9499.3,9518.5,169140000.0,9579.987319850734,9634.566612497596,-26.63745472375922,-25.230121274604137,-1.4073334491550824,22.47263897095206,92.39336734693875
2020-01-24,9576.8,9639.9,9552.5,9562.0,154730000.0,9575.49048988805,9631.026777741616,-26.95781958808402,-25.575660937300114,-1.3821586507839072,28.364560544951516,94.46526967930023
2020-01-27,9447.1,9482.8,9357.8,9366.3,164520000.0,9523.192867416037,9618.113276388365,-42.51300209331748,-28.963129168503592,-13.54987292481389,20.731240158527328,102.3034647022074
2020-01-28,9401.8,9488.0,9363.8,9484.2,154920000.0,9513.444650562029,9611.58092144259,-44.81050403224981,-32.132604141252834,-12.677899890996976,32.514271545802885,103.86750293776406
2020-01-29,9532.7,9574.3,9510.7,9546.7,187150000.0,9521.758487921521,9608.415998445389,-41.114125163527206,-33.92890834570771,-7.185216817819494,37.79317704985516,102.8841098707808
2020-01-30,9460.8,9528.4,9439.3,9477.9,164090000.0,9510.793865941141,9602.049364374883,-43.237883882749884,-35.790703453116144,-7.44718042963374,34.585983417528155,103.20667345143943
2020-01-31,9519.3,9545.1,9365.1,9367.9,303550000.0,9475.070399455855,9590.627444161473,-53.18398676666584,-39.26936011582609,-13.91462665083975,30.176660672546575,108.69191106205089
2020-02-03,9404.4,9431.6,9361.5,9404.7,168670000.0,9457.477799591892,9581.557812738962,-57.434819661282745,-42.90245202491742,-14.532367636365322,33.24292017794477,105.93534598619013
2020-02-04,9465.9,9577.3,9462.4,9562.9,174130000.0,9483.83334969392,9580.647675532184,-47.490773414487194,-43.82011630283138,-3.6706571116558138,44.52197328392271,110.69710698717644
